ID_Candidato,Nombre,Biografia,Tiene_Renuncia,Observaciones
DIEGO ESPINOSA GODOY,"Espinosa Godoy, diego","Abogado (UBA), Docente Universitario. Junto con Marcelo Culotta estuvieron a cargo de las presentaciones legales para evitar que se acepte la medida cautelar de Marcelo Moretti en la que intentaba impedir la acefalía. Presidente de la Peña de Pilar. Actual candidato a vocal por Orden y Progreso",NO,
CASTILLO MARCELO,"Castillo, Marcelo","Economista (UBA) y Magíster en Economía Urbana (UTDT). Como referente de la Vuelta a Boedo desde los inicios de la causa Sanlorencista, fue el responsable de designar la nomenclatura catastral de la Plaza Lorenzo Massa que hoy permite que en el predio se pueda construir un estadio",NO,
BARBARA DEL RIO,"Del Rio, Barbara",Encargada del area de comunicacion y Marketing en el sector privado.,NO,
ANGEL CALELLO MIGUEL,"Calello, Miguel Angel",Contador publico (UBA). Presidente de Open Solutions Argentina. Presidente honorario de CESSI. Miembro del comite ejecutivo de (UIA).,NO,
GONZALO PERALTA,"Peralta, Gonzalo","Responsable del Futbol interno de Socios y colaborador en la ciudad deportiva. Actual candidato a vocal por ""San Lorenzo en Marcha""",NO,
ACHILLE MARIANO,"Achille, Mariano",Gerente comercial y director regional en compañías de comunicación. Miembro fundador de Orden y Progreso Sanlorencista y Agrupación Jacobo Urso.,NO,
NATALY NOVILLO,"Novillo, Nataly",Técnica en Edición de Libros (UBA). Trabajadora bancaria y estudiante de Actuario (UBA). Militante en discapacidad y por la diversidad e inclusión,NO,
AMILCAR CARESTIA ESTEBAN,"CARESTIA, ESTEBAN AMILCAR","Licenciado en Filosofía, coordinador de cursos de Arte y Cultura en el Centro Cultural Ricardo Rojas. Fue candidato a asambleista en 2010 por Mas San Lorenzo, 2019, 2022 y 2023 por Volver a San Lorenzo",NO,
FEDERICO SCIGLIANO,"Scigliano, Federico","Licenciado en Letras (UBA) Periodista, productor. 15 años de experiencia en producciones documentales y de ficción para la industria audiovisual. Actualmente trabajando en prensa en la Auditoria General de la Ciudad de Buenos Aires.",NO,
MANSILLA MARLENE,"Mansilla, Marlene",EN CONSTRUCCION,NO,
MARIANA VILASECO,"Vilaseco, Mariana",Licenciada en Trabajo Social (UBA). Especialista en políticas sociales y públicas. Docente. Referente de Lorenzo Vive. Candidata a vocal por Orden y Progreso,NO,
ACIERNO JUAN PABLO,"Acierno, Juan Pablo","Técnico Superior en Producción Integral de Televisión (TEA). Coordinador Operativo de la Secretaría de Políticas Integrales del SEDRONAR, Ministerio de Salud. Productor integral de televisión. Asesor político",NO,
ALEJANDRO PAGLIA,"Paglia, Alejandro","Cirujano Plastico (USAL), ex presidente de la Sociedad de Cirugía Plástica de Buenos Aires. Miembro titular de SCPBA. Sin Experiencia política en el club.",NO,
