Row 54: [Col 1: ] | [Col 2: ] | [Col 3: ] | [Col 4: ] | [Col 5: CANDIDATOS] | [Col 6: CANDIDATOS] | [Col 7: CANDIDATOS] | [Col 8: ] | [Col 9: ] | [Col 10: ] | [Col 11: ] | [Col 12: ] | [Col 13: ] | [Col 14: ] | [Col 15: ]
Row 55: [Col 1: ] | [Col 2: ] | [Col 3: ] | [Col 4: AGRUPACION] | [Col 5: PRESIDENTE] | [Col 6: VICE] | [Col 7: VICE 2°/VOCAL 1] | [Col 8: VOTOS] | [Col 9: PORCENTAJE] | [Col 10: ] | [Col 11: ] | [Col 12: ] | [Col 13: ] | [Col 14: ] | [Col 15: ]
Row 56: [Col 1: ] | [Col 2: ] | [Col 3: 1] | [Col 4: San Lorenzo Siglo XXI] | [Col 5: Matias Lammens] | [Col 6: Marcelo Tinelli] | [Col 7: Roberto Alvarez] | [Col 8: 5867] | [Col 9: {FormulaResult: 0.8215936143}] | [Col 10: ] | [Col 11: ] | [Col 12: ] | [Col 13: ] | [Col 14: ] | [Col 15: ]
Row 57: [Col 1: ] | [Col 2: ] | [Col 3: 2] | [Col 4: Cruzada x San Lorenzo] | [Col 5: Claudio de Simone] | [Col 6: Adolfo Res] | [Col 7: Marcelo Culotta] | [Col 8: 992] | [Col 9: {FormulaResult: 0.1389161182}] | [Col 10: ] | [Col 11: ] | [Col 12: ] | [Col 13: ] | [Col 14: ] | [Col 15: ]
Row 58: [Col 1: ] | [Col 2: ] | [Col 3: 3] | [Col 4: Volver a San Lorenzo] | [Col 5: Cesar Francis] | [Col 6: Juan Carlos Aliverti Bugallo] | [Col 7: Luciano Bruno] | [Col 8: 218] | [Col 9: {FormulaResult: 0.03052793726}] | [Col 10: ] | [Col 11: ] | [Col 12: ] | [Col 13: ] | [Col 14: ] | [Col 15: ]
Row 60: [Col 1: ] | [Col 2: ] | [Col 3: ] | [Col 4: VOTOS EN BLANCO/NULOS] | [Col 5: VOTOS EN BLANCO/NULOS] | [Col 6: VOTOS EN BLANCO/NULOS] | [Col 7: VOTOS EN BLANCO/NULOS] | [Col 8: 64] | [Col 9: {FormulaResult: 0.008962330206}] | [Col 10: ] | [Col 11: ] | [Col 12: ] | [Col 13: ] | [Col 14: ] | [Col 15: ]
Row 61: [Col 1: ] | [Col 2: ] | [Col 3: ] | [Col 4: ] | [Col 5: TOTAL] | [Col 6: TOTAL] | [Col 7: TOTAL] | [Col 8: {FormulaResult: 7141}] | [Col 9: {FormulaResult: 1}] | [Col 10: ] | [Col 11: ] | [Col 12: ] | [Col 13: ] | [Col 14: ] | [Col 15: ]
Row 62: [Col 1: ] | [Col 2: ] | [Col 3: ] | [Col 4: ] | [Col 5: SOCIOS HABILITADOS PARA VOTAR] | [Col 6: SOCIOS HABILITADOS PARA VOTAR] | [Col 7: SOCIOS HABILITADOS PARA VOTAR] | [Col 8: 19134] | [Col 9: {FormulaResult: 0.3732099927}] | [Col 10: ] | [Col 11: ] | [Col 12: ] | [Col 13: ] | [Col 14: ] | [Col 15: ]
Row 63: [Col 1: ] | [Col 2: ] | [Col 3: ] | [Col 4: ] | [Col 5: ELECCIONES EXTRAORDINARIAS - SEPTIEMBRE 2012] | [Col 6: ELECCIONES EXTRAORDINARIAS - SEPTIEMBRE 2012] | [Col 7: ELECCIONES EXTRAORDINARIAS - SEPTIEMBRE 2012] | [Col 8: ] | [Col 9: ] | [Col 10: ] | [Col 11: ] | [Col 12: ] | [Col 13: ] | [Col 14: ] | [Col 15: ]
Row 64: [Col 1: ] | [Col 2: ] | [Col 3: ] | [Col 4: ] | [Col 5: CANDIDATOS] | [Col 6: CANDIDATOS] | [Col 7: CANDIDATOS] | [Col 8: ] | [Col 9: ] | [Col 10: ] | [Col 11: ] | [Col 12: ] | [Col 13: ] | [Col 14: ] | [Col 15: ]
Row 65: [Col 1: ] | [Col 2: ] | [Col 3: ] | [Col 4: AGRUPACION] | [Col 5: PRESIDENTE] | [Col 6: VICE] | [Col 7: VICE 2°/VOCAL 1] | [Col 8: VOTOS] | [Col 9: PORCENTAJE] | [Col 10: ] | [Col 11: ] | [Col 12: ] | [Col 13: ] | [Col 14: ] | [Col 15: ]
Row 66: [Col 1: ] | [Col 2: ] | [Col 3: 1] | [Col 4: San Lorenzo Siglo XXI] | [Col 5: Matias Lammens] | [Col 6: Marcelo Tinelli] | [Col 7: Hernan Etman] | [Col 8: 6536] | [Col 9: {FormulaResult: 0.8053228191}] | [Col 10: ] | [Col 11: ] | [Col 12: ] | [Col 13: ] | [Col 14: ] | [Col 15: ]
Row 67: [Col 1: ] | [Col 2: ] | [Col 3: 2] | [Col 4: Cruzada x San Lorenzo] | [Col 5: Claudio de Simone] | [Col 6: Adolfo Res] | [Col 7: Marcelo Culotta] | [Col 8: 936] | [Col 9: {FormulaResult: 0.1153277477}] | [Col 10: ] | [Col 11: ] | [Col 12: ] | [Col 13: ] | [Col 14: ] | [Col 15: ]
Row 68: [Col 1: ] | [Col 2: ] | [Col 3: 3] | [Col 4: Volver a San Lorenzo] | [Col 5: Pablo Albanesi] | [Col 6: Jose Viñas] | [Col 7: Sergio Nicolas Fraiman] | [Col 8: 612] | [Col 9: {FormulaResult: 0.07540660424}] | [Col 10: ] | [Col 11: ] | [Col 12: ] | [Col 13: ] | [Col 14: ] | [Col 15: ]
Row 70: [Col 1: ] | [Col 2: ] | [Col 3: ] | [Col 4: VOTOS EN BLANCO/NULOS] | [Col 5: VOTOS EN BLANCO/NULOS] | [Col 6: VOTOS EN BLANCO/NULOS] | [Col 7: VOTOS EN BLANCO/NULOS] | [Col 8: 32] | [Col 9: {FormulaResult: 0.00394282898}] | [Col 10: ] | [Col 11: ] | [Col 12: ] | [Col 13: ] | [Col 14: ] | [Col 15: ]
Row 71: [Col 1: ] | [Col 2: ] | [Col 3: ] | [Col 4: ] | [Col 5: TOTAL] | [Col 6: TOTAL] | [Col 7: TOTAL] | [Col 8: {FormulaResult: 8116}] | [Col 9: {FormulaResult: 1}] | [Col 10: ] | [Col 11: ] | [Col 12: ] | [Col 13: ] | [Col 14: ] | [Col 15: ]
